SiteAbbrev;Site Full Name;Resampled 2012;Group 1999;Group 2012;PICO_dens;logPICO;totANPP;PICOANPP;HerbANPP;GramANPP;ForbANPP;ShrubANPP;Easting;Northing;Elevation;substrat;dNBR3x3_MTBSA;dunb_MTBSA
84blowdn;84 blowdown;y;Intensive;Intensive;3700;3.568;2.065;1.842;0.222;0.158;0.040;0.024;528426;4951525;2409;2;501;272
ArrSinBr;Arrow Single Burn;y;Intensive;Extensive;330;2.520;1.308;0.266;1.041;0.683;0.288;0.070;519573;4960414;2352;2;745;145
Betwarms;Between-the-Arms North;y;Extensive;Extensive;7333;3.865;2.456;0.929;1.527;0.364;1.069;0.095;558257;4904750;2381;4;647;164
BeuLkTr;Beula Lake Trail;n;Extensive;n/a;13700;4.137;4.568;3.087;1.482;0.816;0.320;0.346;517434;4887369;2324;3;499;130
BiscBas;Biscuit Basin;y;Intensive;Intensive;30966;4.491;8.194;7.722;0.472;0.327;0.102;0.043;511657;4924851;2224;1;467;104
BreezPt;Breeze Point;y;Extensive;Extensive;33;1.531;1.722;0.014;1.707;0.723;0.945;0.039;542429;4920480;2376;3;599;205
CascCk;Cascade Creek;y;Intensive;Intensive;833;2.921;1.347;0.227;1.119;0.467;0.637;0.015;538949;4954217;2466;3;655;167
CascMeaN;Cascade Meadows North;y;Intensive;Intensive;433;2.637;0.903;0.021;0.881;0.282;0.561;0.039;537625;4953870;2490;3;843;479
CascMeaS;Cascade Meadows South;y;Intensive;Intensive;7433;3.871;1.903;0.416;1.487;0.968;0.432;0.087;536876;4951781;2480;3;238;57
ChaBayDB;Charcoal Bay Double Burn;y;Extensive;Extensive;33;1.531;0.035;0.016;0.019;0.000;0.019;0.000;552541;4906737;2389;3;156;83
ChaBaySB;Charcoal Bay Single Burn 88;y;Extensive;Extensive;11633;4.066;3.824;2.357;1.467;0.200;1.125;0.143;552767;4907582;2367;3;850;144
ChipBay;Chipmunk Bay;y;Extensive;Extensive;3633;3.560;1.616;0.485;1.131;0.535;0.544;0.053;557070;4903563;2383;4;582;94
ChipMead;Chipmunk Meadows;y;Extensive;Extensive;4667;3.669;1.992;0.458;1.534;0.426;1.084;0.024;556150;4903902;2367;4;449;74
CougCkNo;Cougar Creek North;n;Extensive;n/a;67500;4.829;9.205;9.110;0.095;0.075;0.019;0.000;504574;4950581;2154;2;691;329
CougCkTr;Cougar Creek Trail;y;Extensive;Extensive;155600;5.192;12.920;12.391;0.529;0.208;0.259;0.062;503590;4949618;2107;2;660;234
CougMod;Cougar Moderate;y;Extensive;Extensive;355200;5.550;8.900;8.249;0.652;0.286;0.137;0.229;504021;4945954;2281;3;725;65
CygLkBog;Cygnet Lake Bog;y;Extensive;Extensive;2800;3.447;1.028;0.180;0.849;0.296;0.188;0.365;532643;4949331;2516;3;827;161
CygLkNo;Cygnet Lake North;y;Intensive;Intensive;7466;3.873;1.074;0.532;0.542;0.294;0.198;0.050;532022;4950292;2507;3;645;151
CygLkSo;Cygnet Lake South;n;Intensive;n/a;2633;3.421;1.080;0.458;0.622;0.460;0.138;0.024;531948;4949560;2516;3;494;98
CygLkTr;Cygnet Lake Trail;y;Extensive;Extensive;0;0.000;0.802;0.000;0.802;0.720;0.056;0.026;531579;4946733;2554;3;679;120
DelusCk;Delusion Creek;y;Extensive;Extensive;67;1.833;0.863;0.014;0.849;0.385;0.464;0.000;545530;4917465;2376;3;716;481
DogshdTr;Dogshead Trail;y;Extensive;Extensive;2833;3.452;2.159;0.875;1.283;0.651;0.596;0.037;528850;4909800;2416;3;316;93
DuckCk;Duck Creek;n;Extensive;n/a;19400;4.288;2.666;1.576;1.091;0.512;0.579;0.000;492593;4957579;2010;4;390;106
DunPasNo;Dunraven Pass North;y;Extensive;Extensive;1267;3.103;1.129;0.038;1.091;0.512;0.579;0.000;543503;4962967;2603;4;902;51
EagBayW;Eagle Bay West;y;Extensive;Extensive;53900;4.732;4.954;3.934;1.020;0.303;0.653;0.064;547602;4915551;2380;3;478;70
EagleBay;Eagle Bay;y;Extensive;Extensive;1066;3.028;1.361;0.144;1.218;0.656;0.528;0.034;548118;4915856;2367;3;438;107
FaiFalTr;Fairy Falls Trail South;y;Extensive;Extensive;1833;3.263;1.629;0.507;1.122;0.686;0.409;0.027;507979;4927015;2504;3;525;90
FairCkTr;Fairy Creek Trail - Madison Plateau;y;Extensive;Extensive;3133;3.496;2.003;1.109;0.894;0.379;0.515;0.000;508141;4930308;2414;1;703;250
FernCasc;Fern Cascade;y;Extensive;Extensive;1033;3.015;1.423;0.119;1.305;0.616;0.656;0.033;513054;4921059;2311;3;802;90
FerSmBN;Fern Small BNPP;y;Extensive;Extensive;33000;4.519;3.471;2.629;0.842;0.511;0.170;0.161;514809;4920611;2369;3;354;121
FireRiv;Firehole River;y;Extensive;Extensive;3266;3.514;1.678;0.350;1.328;0.698;0.613;0.017;506600;4926523;2458;1;687;114
FirLopNo;Firehole Loop North;y;Extensive;Extensive;28167;4.450;8.980;7.799;1.181;0.440;0.740;0.000;511621;4942311;2142;2;548;276
FirLopSo;Firehole Loop South;y;Intensive;Intensive;85900;4.934;4.868;4.254;0.614;0.333;0.253;0.027;511433;4940967;2168;3;613;60
FirMeaNo;Firehole Meadows North;y;Extensive;Extensive;10633;4.027;1.872;0.643;1.229;0.392;0.815;0.023;505772;4927043;2440;1;400;177
FirSin88;Firehole Single 88 Burn;y;Extensive;Extensive;33;1.531;1.221;0.000;1.221;0.239;0.825;0.156;502907;4923977;2477;4;952;231
ForLkDub;Forest Lake Double;n;Extensive;n/a;3066;3.487;2.719;0.833;1.886;1.278;0.547;0.061;528470;4890118;2263;3;389;80
ForLkS88;Forest Lake Single 88;n;Extensive;n/a;6866;3.837;2.891;2.055;0.837;0.348;0.306;0.183;529193;4892327;2307;3;765;315
FounEast;Fountain East;y;Intensive;Intensive;535000;5.728;3.944;3.401;0.543;0.100;0.354;0.089;499486;4943962;2062;3;138;28
FounWest;Fountain West;y;Extensive;Extensive;101800;5.008;4.202;3.008;1.194;0.461;0.734;0.000;498928;4943590;2047;3;166;22
GibFalls;Gibbon Falls;y;Intensive;Intensive;56900;4.755;6.388;5.844;0.544;0.303;0.223;0.017;515479;4944380;2140;3;361;67
GneCkSo;Gneiss Creek South;y;Extensive;Extensive;71933;4.857;4.547;3.817;0.730;0.217;0.513;0.000;501130;4948061;2067;3;632;106
GneCkTr;Gneiss Creek Trail North;n;Extensive;n/a;32100;4.507;3.032;1.976;1.057;0.585;0.472;0.000;500636;4949235;2054;3;404;170
GneisCk;Gneiss Creek;n;Extensive;n/a;2133;3.329;2.063;0.176;1.887;1.132;0.755;0.000;494228;4960695;2093;2;160;27
GraCamp;Grant Campground Site;y;Extensive;Extensive;700;2.846;1.927;0.043;1.884;1.121;0.747;0.016;534502;4915509;2383;3;632;67
GravPit;Gravel Pit;y;Intensive;Intensive;454200;5.657;4.813;4.572;0.241;0.118;0.123;0.000;500984;4945028;2074;3;573;77
GrizLake;Grizzly Lake ;n;Intensive;n/a;966;2.985;1.451;0.489;0.961;0.703;0.159;0.099;518620;4962212;2401;3;828;186
GrizLkRg;Grizzly Lake Ridge;y;Extensive;Extensive;47800;4.679;5.530;4.946;0.584;0.149;0.389;0.046;519097;4962869;2433;3;496;490
GrousCr;Grouse Creek;y;Extensive;Extensive;700;2.846;1.103;0.097;1.006;0.319;0.630;0.057;554021;4903181;2407;4;744;241
GrtVilHo;Grant Village Housing Southwest;n;Extensive;n/a;6100;3.785;1.978;0.909;1.069;0.432;0.619;0.018;535624;4914380;2415;3;177;10
HrtLkGrd;Heart Lake Grid;n;Extensive;n/a;6100;3.785;2.428;0.526;1.903;0.687;1.150;0.066;537137;4907050;2469;4;485;99
HrtLkNo;Heart Lake North;y;Intensive;Extensive;11800;4.072;2.185;1.401;0.785;0.389;0.396;0.000;532435;4907853;2382;1;532;94
HrtLkTr;Heart Lake Trail;n;Intensive;n/a;7767;3.890;3.307;0.572;2.736;1.990;0.566;0.179;534350;4906927;2427;3;304;69
ImpGeys;Imperial Geyser - Madison Plateau;n;Extensive;n/a;1733;3.239;1.313;0.401;0.911;0.551;0.360;0.000;508710;4931198;2355;1;504;654
LakShoCp;Lake Shore Campsite;y;Extensive;Extensive;267;2.428;0.914;0.120;0.794;0.455;0.339;0.000;545426;4919419;2375;3;698;392
LewCan;Lewis Canyon;y;Intensive;Intensive;566;2.754;0.769;0.065;0.704;0.447;0.143;0.114;527329;4896594;2378;3;700;301
LewLkEa;Lewis Lake East;y;Intensive;Extensive;2266;3.355;2.115;0.486;1.629;1.179;0.411;0.039;530886;4904678;2375;3;602;86
MalCkE;Mallard Creek East;y;Extensive;Extensive;70866;4.850;2.253;1.665;0.588;0.079;0.372;0.137;515679;4925904;2466;3;616;118
MalCkLak;Mallard Creek Lake;y;Extensive;Extensive;3333;3.523;2.568;1.099;1.469;0.394;0.995;0.080;517063;4924840;2513;3;735;305
MalCkW;Mallard Creek West;n;Extensive;n/a;21433;4.331;3.196;2.980;0.216;0.048;0.106;0.062;514504;4927734;2323;3;454;54
MalGrid;Mallard Grid;y;Intensive;Extensive;19366;4.287;2.931;1.678;1.253;0.576;0.631;0.047;515429;4922324;2336;3;428;161
MonBay;Monument Bay;y;Extensive;Extensive;400;2.603;1.631;0.059;1.572;0.715;0.824;0.033;555213;4903261;2369;4;598;80
MonBayPT;Monument Bay Pack Trail South;y;Extensive;Extensive;2066;3.315;1.572;0.214;1.358;0.542;0.816;0.000;556383;4902983;2378;4;660;60
MtHolmCk;Mt. Holmes Creek;y;Extensive;Extensive;2967;3.472;1.938;0.319;1.619;0.760;0.743;0.116;516396;4962011;2341;2;632;59
MtHolTrH;Mt. Holmes Trail High;y;Extensive;Extensive;20066;4.302;5.088;4.764;0.324;0.197;0.084;0.043;516737;4963063;2413;2;715;491
MtWasRd;Mt. Washburn Rd. South;y;Extensive;Extensive;16000;4.204;2.610;0.786;1.824;0.495;1.291;0.038;543993;4965097;2505;4;827;122
MysGriNo;Mystic Grid North;n;Intensive;n/a;20833;4.319;2.964;2.171;0.793;0.254;0.500;0.039;510211;4926599;2415;3;480;124
MysGriSo;Mystic Grid South;n;Extensive;n/a;700;2.846;1.432;0.247;1.185;0.581;0.572;0.032;510085;4926250;2395;3;627;216
PasCkSW;Passage Creek Southwest;y;Extensive;Extensive;700;2.846;1.898;0.000;1.898;0.442;1.241;0.215;557142;4895468;2607;4;605;371
PasCkW;Passage Creek West;n;Extensive;n/a;33;1.531;2.154;0.002;2.151;0.858;1.255;0.039;555930;4897991;2495;4;872;261
Pitchdub;Pitchstone Double;y;Extensive;Extensive;1033;3.015;0.821;0.195;0.626;0.499;0.093;0.034;526640;4899135;2531;3;518;27
PitchHOB;Pitchstone HOBO;y;Intensive;Intensive;767;2.885;0.986;0.227;0.759;0.578;0.150;0.031;528552;4900863;2390;2;584;93
Pitchsin;Pitchstone Single 88;y;Extensive;Extensive;333;2.524;0.936;0.048;0.888;0.595;0.221;0.073;526394;4899299;2528;3;695;251
RidHigh;Riddle High;n;Intensive;n/a;51300;4.710;7.027;6.053;0.974;0.366;0.498;0.111;532151;4909604;2420;3;402;226
RidLkHO;Riddle Lake HOBO;y;Intensive;Intensive;9000;3.954;2.656;1.007;1.649;1.491;0.143;0.015;533157;4911736;2436;3;549;79
RidLkRg;Riddle Lake Ridge;y;Extensive;Extensive;1100;3.042;1.213;0.203;1.010;0.526;0.347;0.137;536512;4910701;2451;3;837;184
RidLkW;Riddle Lake West;y;Intensive;Extensive;13167;4.120;2.906;0.800;2.105;1.176;0.929;0.000;535008;4912531;2420;4;341;45
SEArm;Southeast Arm;y;Extensive;Extensive;866;2.938;1.643;0.185;1.458;0.614;0.810;0.034;559215;4905577;2382;4;708;183
SevMiBr;7-Mile Bridge;y;Extensive;Extensive;84900;4.929;5.314;4.348;0.966;0.187;0.484;0.295;501643;4946704;2088;3;710;280
ShosLake;Shoshone Lake;y;Extensive;Extensive;300;2.479;1.584;0.074;1.510;1.192;0.275;0.042;528200;4910400;2432;3;448;283
SoLewCan;South Lewis Canyon;y;Intensive;Intensive;2433;3.386;1.905;0.208;1.697;1.498;0.039;0.160;527134;4893995;2370;2;481;102
SumLkCrp;Summit Lake Creepy;y;Extensive;Extensive;67;1.833;1.143;0.000;1.143;0.588;0.555;0.000;502348;4917486;2609;3;601;191
SumLkNE;Summit Lake Northeast;y;Extensive;Extensive;400;2.603;0.613;0.014;0.600;0.165;0.435;0.000;505414;4920912;2547;3;861;313
SumLkNo;Summit Lake North;y;Extensive;Extensive;1400;3.146;0.692;0.071;0.621;0.293;0.240;0.088;504761;4920146;2596;3;714;219
SumLkSE;Summit Lake Southeast;y;Extensive;Extensive;233;2.369;0.934;0.006;0.927;0.375;0.552;0.000;506346;4916929;2615;3;737;252
SumLkSW;Summit Lake Southwest;y;Extensive;Extensive;0;0.000;0.809;0.000;0.809;0.334;0.459;0.015;503695;4915621;2606;3;697;246
TurbLkNo;Turbid Lake North;y;Extensive;Extensive;5600;3.748;2.816;1.569;1.247;0.503;0.699;0.046;559062;4931975;2428;3;448;41
UpPasCk;Upper Passage Creek;y;Extensive;Extensive;133;2.127;1.474;0.005;1.469;0.513;0.870;0.086;557420;4895610;2577;4;708;222
WesThuMo;West Thumb Mouth;y;Extensive;Extensive;13500;4.130;2.570;1.652;0.918;0.458;0.350;0.110;540596;4919375;2375;3;597;211
WinterCk;Winter Creek;y;Extensive;Extensive;667;2.825;2.015;0.242;1.773;0.872;0.884;0.017;518043;4965113;2341;2;785;143
WolfPtNo;Wolf Point North;y;Extensive;Extensive;6100;3.785;2.040;0.853;1.186;0.578;0.407;0.202;545290;4918211;2391;1;634;466
