SiteAbbrev;Site Full Name;Group 1999;Group2012;New GPS 2012;PICO_dens;logPICO;totANPP;PICOANPP;liveallsp;liveabla;livepial;livepien;livepsme;livepotr;standBA;HerbANPP;GramANPP;ForbANPP;ShrubANPP;Easting;Northing;Elevation;substrat;dNBR3x3_MTBSA;dunb_MTBSA;QuadRichness;PlotRichness
X84blowdn;84 blowdown;Intensive;Intensive;y;4333;3.64;8.11;7.36;4333;0;0;0;0;0;36.132;0.758;0.254;0.479;0.025;528426;4951525;2409;2;501;272;9;19
ArrSinBr;Arrow Single Burn;Intensive;Extensive;n;767;2.89;4.02;2.15;833;0;67;0;0;0;6.955;1.876;1.042;0.723;0.111;519573;4960414;2352;2;745;145;31;58
Betwarms;Between-the-Arms North;Extensive;Extensive;n;11900;4.08;8.77;6.52;12800;367;100;133;0;300;30.703;2.242;0.495;1.337;0.41;558257;4904750;2381;4;647;164;17;24
BiscBas;Biscuit Basin;Intensive;Intensive;n;26700;4.43;13.45;13.03;26700;0;0;0;0;0;71.06;0.421;0.285;0.089;0.047;511657;4924851;2224;1;467;104;9;23
BreezPt;Breeze Point;Extensive;Extensive;n;267;2.43;1.99;0.19;267;0;0;0;0;0;1.069;1.797;0.818;0.958;0.021;542429;4920480;2376;3;599;205;20;33
CascCk;Cascade Creek;Intensive;Intensive;n;1933;3.29;4.53;2.58;1967;0;33;0;0;0;10.17;1.953;1.045;0.908;0;538949;4954217;2466;3;655;167;21;40
CascMeaN;Cascade Meadows North;Intensive;Intensive;n;1533;3.19;4.21;2.7;1767;33;33;33;0;133;11.372;1.507;0.315;0.925;0.268;537625;4953870;2490;3;843;479;17;35
CascMeaS;Cascade Meadows South;Intensive;Intensive;y;17767;4.25;7.44;5.78;17833;33;33;0;0;0;30.032;1.662;0.483;0.908;0.271;536876;4951781;2480;3;238;57;13;26
ChaBayDB;Charcoal Bay Double Burn;Extensive;Extensive;n;633;2.8;3.95;1.17;633;0;0;0;0;0;4.81;2.783;0.945;1.702;0.136;552541;4906737;2389;3;156;83;24;37
ChaBaySB;Charcoal Bay Single Burn 88;Extensive;Extensive;n;3500;3.54;7.91;6.3;3967;0;0;0;0;467;28.296;1.604;0.234;0.895;0.475;552767;4907582;2367;3;850;144;17;37
ChipBay;Chipmunk Bay;Extensive;Extensive;n;4000;3.6;9.11;7.66;4667;233;33;267;0;133;36.783;1.447;0.168;1.059;0.22;557070;4903563;2383;4;582;94;23;41
ChipMead;Chipmunk Meadows;Extensive;Extensive;n;7033;3.85;7.73;5.93;7267;0;0;67;0;167;29.903;1.801;0.55;1.19;0.061;556150;4903902;2367;4;449;74;35;47
CougCkTr;Cougar Creek Trail;Extensive;Extensive;n;115800;5.06;11.78;10.88;115933;0;0;0;0;133;55.599;0.905;0.259;0.565;0.081;503590;4949618;2107;2;660;234;9;24
CougMod;Cougar Moderate;Extensive;Extensive;y;62067;4.79;4.24;2.6;62267;0;0;0;0;200;13.897;1.636;0.384;0.791;0.461;504021;4945954;2281;3;725;65;15;21
CygLkBog;Cygnet Lake Bog;Extensive;Extensive;n;4033;3.61;5.64;3.91;4100;0;0;67;0;0;17.711;1.729;0.245;0.803;0.682;532643;4949331;2516;3;827;161;17;29
CygLkNo;Cygnet Lake North;Intensive;Intensive;n;12633;4.1;4.82;4.15;12633;0;0;0;0;0;18.714;0.667;0.173;0.342;0.152;532022;4950292;2507;3;645;151;7;16
CygLkTr;Cygnet Lake Trail;Extensive;Extensive;n;133;2.13;1.66;0.25;133;0;0;0;0;0;1.163;1.411;1.064;0.327;0.019;531579;4946733;2554;3;679;120;13;29
DelusCk;Delusion Creek;Extensive;Extensive;n;167;2.22;1.94;0.29;167;0;0;0;0;0;1.277;1.646;0.994;0.653;0;545530;4917465;2376;3;716;481;18;28
DogshdTr;Dogshead Trail;Extensive;Extensive;n;12100;4.08;10.66;9.13;12100;0;0;0;0;0;42.359;1.525;0.599;0.781;0.146;528850;4909800;2416;3;316;93;18;30
DunPasNo;Dunraven Pass North;Extensive;Extensive;n;4067;3.61;2.62;1.07;7033;267;967;1733;0;0;5.109;1.55;0.372;0.982;0.196;543503;4962967;2603;4;902;51;20;47
EagBayW;Eagle Bay West;Extensive;Extensive;n;30200;4.48;14.9;13.56;30267;0;0;0;0;67;67.068;1.347;0.343;0.951;0.053;547602;4915551;2380;3;478;70;16;36
EagleBay;Eagle Bay;Extensive;Extensive;n;2000;3.3;3.39;2.15;2000;0;0;0;0;0;10.243;1.235;0.522;0.713;0;548118;4915856;2367;3;438;107;19;37
FaiFalTr;Fairy Falls Trail South;Extensive;Extensive;n;1567;3.2;4.44;3.35;1600;0;33;0;0;0;16.42;1.085;0.87;0.16;0.055;507979;4927015;2504;3;525;90;13;26
FairCkTr;Fairy Creek Trail;Extensive;Extensive;n;3167;3.5;7.19;6.63;3433;267;0;0;0;0;30.95;0.564;0.314;0.25;0;508141;4930308;2414;1;703;250;16;28
FernCasc;Fern Cascade;Extensive;Extensive;n;900;2.95;2.56;1.01;1100;0;0;0;0;200;4.61;1.552;0.769;0.699;0.085;513054;4921059;2311;3;802;90;27;43
FerSmBN;Fern Small BNPP;Extensive;Extensive;n;15933;4.2;4.28;3.69;16033;67;0;0;0;33;17.86;0.596;0.271;0.057;0.268;514809;4920611;2369;3;354;121;9;20
FireRiv;Firehole River;Extensive;Extensive;n;5167;3.71;4.85;2.38;5167;0;0;0;0;0;11.089;2.474;0.942;1.224;0.308;506600;4926523;2458;1;687;114;19;34
FirLopNo;Firehole Loop North;Extensive;Extensive;n;22900;4.36;8.81;8.42;22900;0;0;0;0;0;42.114;0.394;0.218;0.176;0;511621;4942311;2142;2;548;276;10;25
FirLopSo;Firehole Loop South;Intensive;Intensive;n;63933;4.81;12.74;12.3;64000;67;0;0;0;0;145.73;0.448;0.219;0.17;0.059;511433;4940967;2168;3;613;60;17;29
FirMeaNo;Firehole Meadows North;Extensive;Extensive;y;23467;4.37;18.57;16.5;23733;0;0;33;0;233;61.55;2.067;0.932;1.068;0.067;505772;4927043;2440;1;400;177;17;36
FirSin88;Firehole Single 88 Burn;Extensive;Extensive;n;533;2.73;2.75;0.51;700;0;0;0;0;167;2.232;2.231;1.311;0.686;0.234;502907;4923977;2477;4;952;231;14;40
FounEast;Fountain East;Intensive;Intensive;n;281467;5.45;11.53;10.29;281533;0;0;0;0;67;56.221;1.236;0.828;0.327;0.081;499486;4943962;2062;3;138;28;15;35
FounWest;Fountain West;Extensive;Extensive;n;74200;4.87;8.28;6.82;74200;0;0;0;0;0;34.716;1.46;0.681;0.779;0;498928;4943590;2047;3;166;22;14;29
GibFalls;Gibbon Falls;Intensive;Intensive;n;42967;4.63;16.45;16.1;42967;0;0;0;0;0;96.203;0.35;0.218;0.097;0.035;515479;4944380;2140;3;361;67;10;23
GneCkSo;Gneiss Creek South;Extensive;Extensive;n;56467;4.75;7.48;6.36;56467;0;0;0;0;0;39.085;1.118;0.444;0.674;0;501130;4948061;2067;3;632;106;15;31
GraCamp;Grant Campground Site;Extensive;Extensive;n;3400;3.53;5.34;3.92;3433;0;0;33;0;0;17.384;1.421;0.83;0.534;0.057;534502;4915509;2383;3;632;67;21;37
GravPit;Gravel Pit;Intensive;Intensive;n;344067;5.54;7.81;7.66;344067;0;0;0;0;0;42.902;0.142;0.093;0.031;0.018;500984;4945028;2074;3;573;77;6;17
GrizLkRg;Grizzly Lake Ridge;Extensive;Extensive;n;11167;4.05;6.34;5.85;11233;0;33;33;0;0;28.039;0.496;0.317;0.076;0.103;519097;4962869;2433;3;496;490;10;21
GrousCr;Grouse Creek;Extensive;Extensive;n;600;2.78;2.86;0.74;733;0;67;0;0;67;3.237;2.116;0.359;1.648;0.109;554021;4903181;2407;4;744;241;23;41
HrtLkNo;Heart Lake North;Intensive;Extensive;n;13267;4.12;12.85;12.09;13367;0;33;0;0;67;61.372;0.757;0.32;0.437;0;532435;4907853;2382;1;532;94;12;24
LakShoCp;Lake Shore Campsite;Extensive;Extensive;n;133;2.13;1.52;0.49;133;0;0;0;0;0;2;1.031;0.578;0.453;0;545426;4919419;2375;3;698;392;15;29
LewCan;Lewis Canyon;Intensive;Intensive;n;2033;3.31;2.63;1.39;6033;67;0;0;0;3933;6.645;1.239;0.889;0.138;0.212;527329;4896594;2378;3;700;301;8;23
LewLkEa;Lewis Lake East;Intensive;Extensive;n;5200;3.72;8.81;6.34;5400;0;67;133;0;0;26.248;2.475;1.522;0.916;0.037;530886;4904678;2375;3;602;86;21;36
MalCkE;Mallard Creek East;Extensive;Extensive;n;69733;4.84;8.95;8.17;70133;0;0;0;0;400;41.317;0.786;0.167;0.386;0.233;515679;4925904;2466;3;616;118;9;21
MalCkLak;Mallard Creek Lake;Extensive;Extensive;n;3067;3.49;6.37;4.52;3167;100;0;0;0;0;20.734;1.855;0.618;0.5;0.738;517063;4924840;2513;3;735;305;17;32
MalGrid;Mallard Grid;Intensive;Extensive;n;24333;4.39;7.88;7.41;24700;167;33;33;0;133;41.571;0.471;0.295;0.093;0.083;515429;4922324;2336;3;428;161;11;23
MonBay;Monument Bay;Extensive;Extensive;n;533;2.73;3.18;1.08;633;0;0;100;0;0;4.485;2.104;0.81;1.271;0.023;555213;4903261;2369;4;598;80;32;39
MonBayPT;Monument Bay Pack Trail South;Extensive;Extensive;n;2967;3.47;5.37;3.39;3833;33;0;433;0;400;14.775;1.979;0.631;1.098;0.25;556383;4902983;2378;4;660;60;36;52
MtHolmCk;Mt. Holmes Creek;Extensive;Extensive;n;8000;3.9;5.65;3.93;8533;33;433;67;0;0;18.37;1.72;0.542;0.939;0.239;516396;4962011;2341;2;632;59;18;48
MtHolTrH;Mt. Holmes Trail High;Extensive;Extensive;n;14200;4.15;11.82;11.07;14333;0;100;0;0;33;52.54;0.747;0.184;0.382;0.182;516737;4963063;2413;2;715;491;7;16
MtWasRd;Mt. Washburn Rd. South;Extensive;Extensive;n;12700;4.1;6.89;4.73;13167;200;0;267;0;0;22.84;2.162;0.281;1.765;0.116;543993;4965097;2505;4;827;122;24;49
PasCkSW;Passage Creek Southwest;Extensive;Extensive;n;700;2.85;2.67;1.11;3500;1600;200;967;0;33;4.994;1.56;0.201;1.082;0.277;557142;4895468;2607;4;605;371;30;41
Pitchdub;Pitchstone Double;Extensive;Extensive;n;1467;3.17;3.18;1.62;1500;0;33;0;0;0;7.452;1.557;1.118;0.396;0.042;526640;4899135;2531;3;518;27;17;34
PitchHOB;Pitchstone HOBO;Intensive;Intensive;n;2133;3.33;6.41;4.98;2267;100;0;0;0;33;23.585;1.435;1.28;0.068;0.087;528552;4900863;2390;2;584;93;14;27
Pitchsin;Pitchstone Single 88;Extensive;Extensive;y;500;2.7;2.62;0.77;633;33;0;0;0;100;3.083;1.847;1.535;0.213;0.099;526394;4899299;2528;3;695;251;19;47
RidLkHO;Riddle Lake HOBO;Intensive;Intensive;y;8100;3.91;5.91;5.2;8267;0;0;0;0;167;24.821;0.71;0.508;0.202;0;533157;4911736;2436;3;549;79;11;28
RidLkRg;Riddle Lake Ridge;Extensive;Extensive;n;2600;3.42;5.84;4.31;3067;0;333;67;0;67;19.953;1.538;0.518;0.623;0.397;536512;4910701;2451;3;837;184;17;49
RidLkW;Riddle Lake West;Intensive;Extensive;n;17233;4.24;6.73;4.86;17233;0;0;0;0;0;20.682;1.879;1.131;0.71;0.038;535008;4912531;2420;4;341;45;22;37
SEArm;Southeast Arm;Extensive;Extensive;n;733;2.87;2.94;1.18;733;0;0;0;0;0;6.674;1.756;0.471;1.259;0.025;559215;4905577;2382;4;708;183;27;34
SevMiBr;7-Mile Bridge;Extensive;Extensive;n;52533;4.72;5.83;5.12;52533;0;0;0;0;0;26.218;0.716;0.162;0.354;0.2;501643;4946704;2088;3;710;280;12;21
ShosLake;Shoshone Lake;Extensive;Extensive;n;533;2.73;3.63;1.47;533;0;0;0;0;0;5.856;2.156;1.653;0.432;0.071;528200;4910400;2432;3;448;283;17;29
SoLewCan;South Lewis Canyon;Intensive;Intensive;y;10867;4.04;10.14;8.25;11200;333;0;0;0;0;37.854;1.89;1.265;0.277;0.348;527134;4893995;2370;2;481;102;4;16
SumLkCrp;Summit Lake Creepy;Extensive;Extensive;n;0;0;1.56;0;0;0;0;0;0;0;0;1.556;0.687;0.869;0;502348;4917486;2609;3;601;191;20;24
SumLkNE;Summit Lake Northeast;Extensive;Extensive;n;1167;3.07;1.98;0.75;1933;67;300;33;0;367;4.464;1.226;0.599;0.452;0.175;505414;4920912;2547;3;861;313;16;33
SumLkNo;Summit Lake North;Extensive;Extensive;n;2733;3.44;2.42;0.8;3000;0;200;0;0;67;4.197;1.612;0.923;0.361;0.328;504761;4920146;2596;3;714;219;12;31
SumLkSE;Summit Lake Southeast;Extensive;Extensive;n;500;2.7;1.42;0.15;500;0;0;0;0;0;0.525;1.268;0.674;0.517;0.077;506346;4916929;2615;3;737;252;16;30
SumLkSW;Summit Lake Southwest;Extensive;Extensive;n;33;1.54;1.2;0;33;0;0;0;0;0;0.012;1.198;0.585;0.581;0.032;503695;4915621;2606;3;697;246;18;26
TurbLkNo;Turbid Lake North;Extensive;Extensive;y;9700;3.99;7.09;5.41;10100;0;0;267;0;133;22.462;1.68;0.865;0.421;0.394;559062;4931975;2428;3;448;41;16;55
UpPasCk;Upper Passage Creek;Extensive;Extensive;n;67;1.83;2.74;0.11;267;67;33;100;0;0;0.464;2.627;0.423;1.735;0.469;557420;4895610;2577;4;708;222;31;42
WesThuMo;West Thumb Mouth;Extensive;Extensive;n;12267;4.09;9.88;8.67;12700;0;0;367;0;67;41.833;1.211;0.405;0.432;0.374;540596;4919375;2375;3;597;211;12;23
WinterCk;Winter Creek;Extensive;Extensive;n;1700;3.23;4.7;2.81;1800;0;0;67;0;33;15.822;1.886;0.712;1.13;0.045;518043;4965113;2341;2;785;143;29;53
WolfPtNo;Wolf Point North;Extensive;Extensive;n;7933;3.9;14.66;12.7;7933;0;0;0;0;0;59.105;1.957;0.845;0.835;0.277;545290;4918211;2391;1;634;466;21;36
